BusStopCode,RoadName,Description,Latitude,Longitude,planning_area
23251,Pioneer Rd,Aft Shipyard Rd,1.3117223561773,103.6837814302816,PIONEER
23259,Pioneer Rd,Bef Shipyard Rd,1.31139556205987,103.6836649596919,BOON LAY
23261,Pioneer Rd,Opp Exxon Mobil,1.31264863196713,103.68577338809426,PIONEER
23269,Pioneer Rd,Exxon Mobil,1.312406285462,103.6857799047387,BOON LAY
23279,Pioneer Rd,Bef Benoi Sector,1.3149287594586,103.69162853660085,BOON LAY
23281,Benoi Rd,Aft Pioneer Rd,1.30650617564734,103.6789673712784,PIONEER
23291,Benoi Rd,ST Marine,1.30382409549165,103.6793047741436,PIONEER
23301,Benoi Rd,Bef Benoi Basin,1.30212057066579,103.67953903241492,PIONEER
23311,Benoi Rd,Keppel Shipyard,1.30178638897679,103.67745555601714,PIONEER
23321,Benoi Rd,Bef Benoi Lane,1.30404333032775,103.67618479236954,PIONEER
23331,Benoi Rd,Opp JP Nelson,1.30689333299079,103.67584222201576,PIONEER
23341,Benoi Rd,Aft Pioneer Rd,1.31118496429579,103.67850804808974,PIONEER
23349,Benoi Rd,Bef Pioneer Rd,1.31076855055702,103.67871579430351,PIONEER
23351,Benoi Rd,Aft Gul Ave,1.31615485867639,103.67874941599844,PIONEER
23359,Benoi Rd,Opp Gul Ave,1.31500500807478,103.6788828370567,PIONEER
23361,Benoi Rd,Opp Keppel Logistics,1.31910770453777,103.6788383227952,PIONEER
23369,Benoi Rd,Keppel Logistics,1.31907826658404,103.67911023430727,PIONEER
23371,Benoi Rd,Bef Joo Koon Int,1.32595445317751,103.6790814673288,PIONEER
23379,Benoi Rd,Opp Joo Koon Int,1.3265431228454,103.67939439835484,PIONEER
23389,Shipyard Rd,PEC Ltd,1.30755644701044,103.69377301234816,BOON LAY
23399,Shipyard Rd,Keppel Offshore & Marine,1.30533638898993,103.69237083299345,BOON LAY
23409,Shipyard Rd,Mobil Marine Ter,1.30352138897737,103.68933638897876,BOON LAY
23419,Shipyard Rd,Bef Shipyard Cres,1.30380777799126,103.6861461109867,BOON LAY
23429,Shipyard Rd,Opp EMAS Marine Base,1.30456833652112,103.68472051252805,BOON LAY
23439,Shipyard Rd,Opp SML Shipyard Ltd,1.30774277950908,103.68468656882482,BOON LAY
23441,Benoi Rd,Bef Benoi Pl,1.31304186906391,103.67862695881058,PIONEER
23449,Benoi Rd,Aft Benoi Pl,1.31284166701008,103.67877583300174,PIONEER
23451,Jln Samulun,Jurong Shipyard,1.30402666700212,103.6972844439932,BOON LAY
23461,Jln Samulun,Tanoto Shipyard,1.30546916761511,103.69643466903612,BOON LAY
23469,Jln Samulun,Opp Tanoto Shipyard,1.3050852014562,103.69683459275382,BOON LAY
23471,Benoi Sector,Aft Benoi Rd,1.31966340928848,103.68097194774356,PIONEER
23479,Benoi Sector,Bef Benoi Rd,1.31950924526288,103.6806598533434,PIONEER
23481,Intl Rd,Molex,1.32791691676156,103.68174669439476,JURONG WEST
23489,Intl Rd,Opp Molex,1.32759688194654,103.68048864270644,PIONEER
23491,Joo Koon Circle,Joo Koon Stn Exit B,1.32792408366339,103.67780864699095,PIONEER
23499,Joo Koon Circle,Joo Koon Stn Exit A,1.32755092355685,103.67805103515067,PIONEER
23501,Lok Yang Way,Aft Pioneer Rd Nth,1.32453160328451,103.6958354332658,PIONEER
23509,Lok Yang Way,Hoe Keng Motor,1.32468013030892,103.69561678727868,PIONEER
23519,Benoi Rd,Opp FairPrice Hub,1.32479352408668,103.6793660000188,PIONEER
24009,Joo Koon Circle,Joo Koon Int,1.32697254709069,103.67839791240787,PIONEER
