TYP_CD_DES,STN_NAM_DE,geometry,latitude,longitude,planning_area
LRT,COVE LRT STATION,"POLYGON ((36048.542513730004 42373.41001830064, 36057.49431372993 42385.49611829966, 36110.00941372942 42346.50891830027, 36101.015713729896 42334.40871830098, 36048.542513730004 42373.41001830064))",1.3993617069210025,103.90591744003868,PUNGGOL
MRT,PASIR RIS MRT STATION,"POLYGON ((40899.37111372966 39359.292918300256, 40865.363313729875 39368.15231830068, 40890.335913729854 39462.09761830047, 40904.91401372943 39516.94531830028, 40905.132813729346 39517.75781830028, 40905.882813729346 39520.51951830089, 40939.84371372964 39511.50781830028, 40939.12111372966 39508.800818299875, 40938.89451372996 39507.9297183007, 40933.945313729346 39489.378918301314, 40927.19141372945 39463.97261830047, 40923.64451372996 39450.613318299875, 40915.52731372975 39420.0742183011, 40899.37111372966 39359.292918300256))",1.372951874838454,103.9492576380466,PASIR RIS
MRT,ADMIRALTY MRT STATION,"POLYGON ((24306.06831372995 46857.52731830068, 24294.964813729748 46882.40621829964, 24294.937513729557 46882.46871829964, 24293.82421372924 46886.425818299875, 24293.80471372977 46886.4922183007, 24293.88081372995 46890.59761830047, 24293.882813729346 46890.668018300086, 24295.138713729568 46894.5742183011, 24295.160213729367 46894.6367183011, 24297.396513729356 46898.085918299854, 24297.447313729674 46898.128918301314, 24300.613313729875 46900.78511830047, 24304.33201372996 46902.58201830089, 24351.181613729335 46923.07031830028, 24356.162113729864 46923.1172183007, 24392.72661372926 46939.21871829964, 24398.412113729864 46944.113318299875, 24445.44141372945 46964.99611829966, 24486.500013729557 46982.917918300256, 24490.521513729356 46981.72661830112, 24494.54101372976 46980.293018300086, 24498.267613729462 46978.47651830129, 24501.259713729843 46975.39451830089, 24513.263713729568 46949.03511830047, 24445.91401372943 46919.26951830089, 24445.49221372977 46919.078118300065, 24445.701213729568 46918.60151830129, 24449.980513729155 46908.9297183007, 24450.168013729155 46908.503918301314, 24449.697313729674 46908.29681830108, 24400.455113729462 46886.50001830049, 24394.361313729547 46883.8047183007, 24349.468713729642 46863.93751830049, 24348.996113729663 46863.730418300256, 24348.798813729547 46864.175818299875, 24346.224613729864 46870.015618300065, 24344.31641372945 46874.33981830068, 24306.06831372995 46857.52731830068))",1.4405870899071695,103.80097700881026,WOODLANDS
MRT,KEMBANGAN MRT STATION,"POLYGON ((36784.398413729854 33667.960918299854, 36778.66011372954 33695.40621829964, 36778.570313729346 33695.835918299854, 36778.320313729346 33697.02731830068, 36780.41411372926 33697.46481830068, 36835.20701372996 33708.93751830049, 36836.675813729875 33709.2422183007, 36866.828113729134 33715.58981830068, 36936.36721372977 33730.1992183011, 36936.425813729875 33730.210918299854, 36940.882813729346 33731.148418299854, 36941.26171372924 33722.39451830089, 36943.43361372966 33704.8242183011, 36942.64451372996 33700.60941830091, 36935.11721372977 33699.1797183007, 36786.87501372956 33668.47261830047, 36784.398413729854 33667.960918299854))",1.3210380679728029,103.91294752764097,BEDOK
LRT,PUNGGOL POINT LRT STATION,"POLYGON ((36122.12771372963 44321.83781830035, 36180.62321372982 44292.5015182998, 36173.85731372982 44279.05671830103, 36115.36801372934 44308.40511829965, 36122.12771372963 44321.83781830035))",1.41691085274144,103.90653551146728,PUNGGOL
MRT,MARSILING MRT STATION,"POLYGON ((21306.189413729124 46014.77731830068, 21300.640613729134 46014.925818299875, 21300.42971372977 46014.93361829966, 21296.03321372997 46016.15231830068, 21294.855413729325 46016.480518300086, 21289.78911372926 46019.363318299875, 21286.41411372926 46021.3867183011, 21285.550813729875 46023.41011830047, 21284.70701372996 46024.7422183007, 21282.402313729748 46028.390618300065, 21280.548813729547 46034.01951830089, 21280.285113729537 46035.34371829964, 21282.81641372945 46035.3867183011, 21297.02541372925 46035.578118300065, 21302.246113729663 46035.668018300086, 21302.236313729547 46044.023418299854, 21394.00391372945 46044.02731830068, 21393.951213729568 46060.32031830028, 21449.88671372924 46060.31251830049, 21449.933613729663 46044.003918301314, 21499.076213729568 46044.015618300065, 21499.085913729854 46035.27731830068, 21569.19141372945 46035.27731830068, 21569.195313729346 46024.27731830068, 21560.203113729134 46015.273418299854, 21437.548813729547 46015.273418299854, 21437.550813729875 46017.613318299875, 21423.54691372998 46017.60941830091, 21423.54691372998 46015.26951830089, 21324.293013729155 46015.26951830089, 21307.24021372944 46014.855518300086, 21306.189413729124 46014.77731830068))",1.4325651687522347,103.77419400271717,WOODLANDS
LRT,COMPASSVALE LRT STATION,"POLYGON ((35508.238313729875 41802.398418299854, 35451.63671372924 41823.54691830091, 35456.890613729134 41837.59371829964, 35513.44141372945 41816.47651830129, 35508.238313729875 41802.398418299854))",1.3944787835084709,103.90055527769678,SENGKANG
MRT,KHATIB MRT STATION,"POLYGON ((27943.375013729557 44278.140618300065, 27925.091813729145 44287.328118300065, 27938.68551372923 44314.398418299854, 27918.26171372924 44324.66411830112, 27978.132813729346 44443.6797183007, 27985.732413729653 44458.80861829966, 28013.31051372923 44444.96871829964, 28020.009813729674 44436.65231830068, 28018.861313729547 44425.960918299854, 27957.482413729653 44303.92191830091, 27953.273413729854 44297.88281830028, 27943.375013729557 44278.140618300065))",1.4175768086974465,103.8330380598802,YISHUN
LRT,LAYAR LRT STATION,"POLYGON ((33182.49221372977 41548.14451830089, 33182.28901372943 41563.1367183011, 33242.66411372926 41564.12111829966, 33242.90621372964 41549.09761830047, 33182.49221372977 41548.14451830089))",1.3920928723391566,103.88015787540466,SENGKANG
MRT,TAMPINES WEST MRT STATION,"POLYGON ((39676.16921372991 36401.17771830037, 39678.47341372911 36401.129818299785, 39678.54681372922 36404.65761830099, 39679.07151372917 36429.852318299934, 39680.01411372982 36475.10831830092, 39680.42371372972 36494.77561829984, 39679.292513730004 36498.08771830052, 39679.664813729934 36515.96481830068, 39693.01181373 36515.686818299815, 39706.3589137299 36515.40881830081, 39706.33811372984 36514.409018300474, 39712.23161372915 36514.28631830029, 39711.227813730016 36466.08711829968, 39704.03661372978 36466.23681830056, 39703.28521372937 36430.254018301144, 39716.5325137293 36429.97811830044, 39716.312113729306 36419.379118300974, 39716.09101372957 36408.78011829965, 39717.9904137291 36408.74051829986, 39717.57431373 36388.8010183014, 39717.18531372957 36370.16131830029, 39723.03501372971 36370.039418300614, 39722.8411137294 36360.72651830129, 39752.388313729316 36360.6965183001, 39752.36421372928 36336.996518300846, 39734.4298137296 36337.01471829973, 39716.49541372992 36337.03291830048, 39716.458413729444 36335.259518301114, 39714.96041372977 36335.29071830027, 39708.21191373002 36335.431218300015, 39698.838913729414 36335.62641829997, 39677.689713729545 36336.066918300465, 39674.59031372983 36336.13141830079, 39659.99321372993 36336.43541830033, 39660.30961372983 36351.6321182996, 39667.10841372982 36351.49051829986, 39667.5361137297 36372.03881829977, 39667.5305137299 36386.69831830077, 39667.52481372934 36401.357818299904, 39668.46791372914 36401.33811829984, 39668.4680137299 36415.93351829983, 39676.16931372974 36415.936418300495, 39676.16921372991 36401.17771830037))",1.34551750723051,103.93842947035633,TAMPINES
